code,date,value,totalvalue
110022,20100820,10000,10000
110022,20100827,10009,10009
110022,20100903,10060,10060
110022,20100910,10060,10060
110022,20100917,10040,10040
110022,20100921,10049,10049
110022,20100930,10069,10069
110022,20101008,10129,10129
110022,20101015,9940,9940
110022,20101022,10100,10100
110022,20101026,10189,10189
110022,20101027,10140,10140
110022,20101028,10129,10129
110022,20101029,10169,10169
110022,20101101,10260,10260
110022,20101102,10240,10240
110022,20101103,10240,10240
110022,20101104,10300,10300
110022,20101105,10330,10330
110022,20101108,10380,10380
110022,20101109,10450,10450
110022,20101110,10580,10580
110022,20101111,10510,10510
110022,20101112,10200,10200
110022,20101115,10420,10420
110022,20101116,10270,10270
110022,20101117,10020,10020
110022,20101118,10100,10100
110022,20101119,10260,10260
110022,20101122,10310,10310
110022,20101123,10220,10220
110022,20101124,10360,10360
110022,20101125,10440,10440
110022,20101126,10420,10420
110022,20101129,10440,10440
110022,20101130,10280,10280
110022,20101201,10240,10240
110022,20101202,10200,10200
110022,20101203,10140,10140
110022,20101206,10020,10020
110022,20101207,10089,10089
110022,20101208,10080,10080
110022,20101209,9930,9930
110022,20101210,9990,9990
110022,20101213,10180,10180
110022,20101214,10209,10209
110022,20101215,10160,10160
110022,20101216,10129,10129
110022,20101217,10100,10100
110022,20101220,10020,10020
110022,20101221,10040,10040
110022,20101222,9950,9950
110022,20101223,9850,9850
110022,20101224,9750,9750
110022,20101227,9580,9580
110022,20101228,9520,9520
110022,20101229,9630,9630
110022,20101230,9660,9660
110022,20101231,9830,9830
110022,20110104,9860,9860
110022,20110105,9800,9800
110022,20110106,9750,9750
110022,20110107,9710,9710
110022,20110110,9520,9520
110022,20110111,9500,9500
110022,20110112,9510,9510
110022,20110113,9570,9570
110022,20110114,9480,9480
110022,20110117,9180,9180
110022,20110118,9270,9270
110022,20110119,9400,9400
110022,20110120,9160,9160
110022,20110121,9110,9110
110022,20110124,8940,8940
110022,20110125,8870,8870
110022,20110126,8970,8970
110022,20110127,9050,9050
110022,20110128,9150,9150
110022,20110131,9230,9230
110022,20110201,9210,9210
110022,20110209,9180,9180
110022,20110210,9400,9400
110022,20110211,9490,9490
110022,20110214,9620,9620
110022,20110215,9570,9570
110022,20110216,9620,9620
110022,20110217,9560,9560
110022,20110218,9520,9520
110022,20110221,9670,9670
110022,20110222,9490,9490
110022,20110223,9520,9520
110022,20110224,9510,9510
110022,20110225,9540,9540
110022,20110228,9670,9670
110022,20110301,9750,9750
110022,20110302,9770,9770
110022,20110303,9640,9640
110022,20110304,9720,9720
110022,20110307,9810,9810
110022,20110308,9860,9860
110022,20110309,9870,9870
110022,20110310,9850,9850
110022,20110311,9790,9790
110022,20110314,9870,9870
110022,20110315,9700,9700
110022,20110316,9800,9800
110022,20110317,9640,9640
110022,20110318,9650,9650
110022,20110321,9570,9570
110022,20110322,9560,9560
110022,20110323,9640,9640
110022,20110324,9610,9610
110022,20110325,9640,9640
110022,20110328,9510,9510
110022,20110329,9340,9340
110022,20110330,9310,9310
110022,20110331,9290,9290
110022,20110401,9330,9330
110022,20110406,9240,9240
110022,20110407,9300,9300
110022,20110408,9430,9430
110022,20110411,9350,9350
110022,20110412,9360,9360
110022,20110413,9500,9500
110022,20110414,9480,9480
110022,20110415,9460,9460
110022,20110418,9450,9450
110022,20110419,9470,9470
110022,20110420,9540,9540
110022,20110421,9560,9560
110022,20110422,9530,9530
110022,20110425,9620,9620
110022,20110426,9500,9500
110022,20110427,9440,9440
110022,20110428,9240,9240
110022,20110429,9350,9350
110022,20110503,9480,9480
110022,20110504,9380,9380
110022,20110505,9500,9500
110022,20110506,9550,9550
110022,20110509,9580,9580
110022,20110510,9550,9550
110022,20110511,9580,9580
110022,20110512,9570,9570
110022,20110513,9560,9560
110022,20110516,9550,9550
110022,20110517,9470,9470
110022,20110518,9550,9550
110022,20110519,9570,9570
110022,20110520,9560,9560
110022,20110523,9280,9280
110022,20110524,9230,9230
110022,20110525,9120,9120
110022,20110526,9070,9070
110022,20110527,8940,8940
110022,20110530,8970,8970
110022,20110531,9050,9050
110022,20110601,9170,9170
110022,20110602,9140,9140
110022,20110603,9270,9270
110022,20110607,9300,9300
110022,20110608,9320,9320
110022,20110609,9180,9180
110022,20110610,9230,9230
110022,20110613,9120,9120
110022,20110614,9200,9200
110022,20110615,9150,9150
110022,20110616,9040,9040
110022,20110617,8980,8980
110022,20110620,8870,8870
110022,20110621,8980,8980
110022,20110622,9040,9040
110022,20110623,9140,9140
110022,20110624,9280,9280
110022,20110627,9360,9360
110022,20110628,9350,9350
110022,20110629,9280,9280
110022,20110630,9390,9390
110022,20110701,9410,9410
110022,20110704,9620,9620
110022,20110705,9640,9640
110022,20110706,9630,9630
110022,20110707,9730,9730
110022,20110708,9760,9760
110022,20110711,9890,9890
110022,20110712,9850,9850
110022,20110713,10009,10009
110022,20110714,9960,9960
110022,20110715,9990,9990
110022,20110718,10049,10049
110022,20110719,9910,9910
110022,20110720,9950,9950
110022,20110721,9980,9980
110022,20110722,9990,9990
110022,20110725,9700,9700
110022,20110726,9730,9730
110022,20110727,9850,9850
110022,20110728,9840,9840
110022,20110729,9770,9770
110022,20110801,9740,9740
110022,20110802,9690,9690
110022,20110803,9760,9760
110022,20110804,9820,9820
110022,20110805,9770,9770
110022,20110808,9620,9620
110022,20110809,9680,9680
110022,20110810,9820,9820
110022,20110811,10080,10080
110022,20110812,10100,10100
110022,20110815,10109,10109
110022,20110816,10020,10020
110022,20110817,10009,10009
110022,20110818,9900,9900
110022,20110819,9900,9900
110022,20110822,9690,9690
110022,20110823,9750,9750
110022,20110824,9730,9730
110022,20110825,9890,9890
110022,20110826,9880,9880
110022,20110829,9920,9920
110022,20110830,9870,9870
110022,20110831,9880,9880
110022,20110901,9800,9800
110022,20110902,9700,9700
110022,20110905,9610,9610
110022,20110906,9490,9490
110022,20110907,9650,9650
110022,20110908,9600,9600
110022,20110909,9520,9520
110022,20110913,9430,9430
110022,20110914,9450,9450
110022,20110915,9460,9460
110022,20110916,9480,9480
110022,20110919,9350,9350
110022,20110920,9330,9330
110022,20110921,9490,9490
110022,20110922,9330,9330
110022,20110923,9160,9160
110022,20110926,9000,9000
110022,20110927,9070,9070
110022,20110928,9010,9010
110022,20110929,8890,8890
110022,20110930,8880,8880
110022,20111010,8760,8760
110022,20111011,8690,8690
110022,20111012,8910,8910
110022,20111013,8990,8990
110022,20111014,8960,8960
110022,20111017,9070,9070
110022,20111018,8970,8970
110022,20111019,8920,8920
110022,20111020,8730,8730
110022,20111021,8680,8680
110022,20111024,8850,8850
110022,20111025,9010,9010
110022,20111026,9110,9110
110022,20111027,9130,9130
110022,20111028,9220,9220
110022,20111031,9240,9240
110022,20111101,9270,9270
110022,20111102,9410,9410
110022,20111103,9440,9440
110022,20111104,9500,9500
110022,20111107,9480,9480
110022,20111108,9430,9430
110022,20111109,9490,9490
110022,20111110,9440,9440
110022,20111111,9430,9430
110022,20111114,9530,9530
110022,20111115,9490,9490
110022,20111116,9340,9340
110022,20111117,9330,9330
110022,20111118,9210,9210
110022,20111121,9210,9210
110022,20111122,9240,9240
110022,20111123,9240,9240
110022,20111124,9260,9260
110022,20111125,9220,9220
110022,20111128,9260,9260
110022,20111129,9330,9330
110022,20111130,9160,9160
110022,20111201,9240,9240
110022,20111202,9140,9140
110022,20111205,8970,8970
110022,20111206,8900,8900
110022,20111207,8920,8920
110022,20111208,8910,8910
110022,20111209,8780,8780
110022,20111212,8680,8680
110022,20111213,8530,8530
110022,20111214,8470,8470
110022,20111215,8440,8440
110022,20111216,8550,8550
110022,20111219,8550,8550
110022,20111220,8540,8540
110022,20111221,8460,8460
110022,20111222,8470,8470
110022,20111223,8500,8500
110022,20111226,8400,8400
110022,20111227,8189,8189
110022,20111228,8169,8169
110022,20111229,8230,8230
110022,20111230,8350,8350
110022,20111231,8350,8350
110022,20120104,8110,8110
110022,20120105,7870,7870
110022,20120106,7850,7850
110022,20120109,7990,7990
110022,20120110,8189,8189
110022,20120111,8159,8159
110022,20120112,8070,8070
110022,20120113,7860,7860
110022,20120116,7590,7590
110022,20120117,7850,7850
110022,20120118,7670,7670
110022,20120119,7780,7780
110022,20120120,7970,7970
110022,20120130,7910,7910
110022,20120131,7930,7930
110022,20120201,7910,7910
110022,20120202,7970,7970
110022,20120203,8040,8040
110022,20120206,8110,8110
110022,20120207,8010,8010
110022,20120208,8120,8120
110022,20120209,8149,8149
110022,20120210,8139,8139
110022,20120213,8230,8230
110022,20120214,8240,8240
110022,20120215,8320,8320
110022,20120216,8330,8330
110022,20120217,8310,8310
110022,20120220,8320,8320
110022,20120221,8370,8370
110022,20120222,8460,8460
110022,20120223,8520,8520
110022,20120224,8610,8610
110022,20120227,8660,8660
110022,20120228,8640,8640
110022,20120229,8600,8600
110022,20120301,8640,8640
110022,20120302,8750,8750
110022,20120305,8710,8710
110022,20120306,8650,8650
110022,20120307,8670,8670
110022,20120308,8730,8730
110022,20120309,8880,8880
110022,20120312,8900,8900
110022,20120313,9000,9000
110022,20120314,8840,8840
110022,20120315,8930,8930
110022,20120316,9110,9110
110022,20120319,9090,9090
110022,20120320,8880,8880
110022,20120321,8800,8800
110022,20120322,8770,8770
110022,20120323,8650,8650
110022,20120326,8700,8700
110022,20120327,8600,8600
110022,20120328,8360,8360
110022,20120329,8310,8310
110022,20120330,8280,8280
110022,20120405,8490,8490
110022,20120406,8530,8530
110022,20120409,8490,8490
110022,20120410,8490,8490
110022,20120411,8500,8500
110022,20120412,8610,8610
110022,20120413,8610,8610
110022,20120416,8610,8610
110022,20120417,8490,8490
110022,20120418,8650,8650
110022,20120419,8600,8600
110022,20120420,8630,8630
110022,20120423,8560,8560
110022,20120424,8510,8510
110022,20120425,8620,8620
110022,20120426,8700,8700
110022,20120427,8700,8700
110022,20120502,8770,8770
110022,20120503,8820,8820
110022,20120504,8960,8960
110022,20120507,9020,9020
110022,20120508,9000,9000
110022,20120509,8860,8860
110022,20120510,8860,8860
110022,20120511,8830,8830
110022,20120514,8740,8740
110022,20120515,8800,8800
110022,20120516,8730,8730
110022,20120517,8800,8800
110022,20120518,8650,8650
110022,20120521,8680,8680
110022,20120522,8780,8780
110022,20120523,8770,8770
110022,20120524,8630,8630
110022,20120525,8520,8520
110022,20120528,8610,8610
110022,20120529,8690,8690
110022,20120530,8640,8640
110022,20120531,8690,8690
110022,20120601,8740,8740
110022,20120604,8590,8590
110022,20120605,8620,8620
110022,20120606,8560,8560
110022,20120607,8600,8600
110022,20120608,8570,8570
110022,20120611,8650,8650
110022,20120612,8700,8700
110022,20120613,8920,8920
110022,20120614,8970,8970
110022,20120615,8880,8880
110022,20120618,8950,8950
110022,20120619,8900,8900
110022,20120620,8850,8850
110022,20120621,8790,8790
110022,20120625,8670,8670
110022,20120626,8660,8660
110022,20120627,8650,8650
110022,20120628,8610,8610
110022,20120629,8730,8730
110022,20120630,8730,8730
110022,20120702,8770,8770
110022,20120703,8850,8850
110022,20120704,8850,8850
110022,20120705,8770,8770
110022,20120706,9010,9010
110022,20120709,8930,8930
110022,20120710,8840,8840
110022,20120711,8890,8890
110022,20120712,8940,8940
110022,20120713,8940,8940
110022,20120716,8690,8690
110022,20120717,8630,8630
110022,20120718,8610,8610
110022,20120719,8660,8660
110022,20120720,8630,8630
110022,20120723,8580,8580
110022,20120724,8640,8640
110022,20120725,8610,8610
110022,20120726,8510,8510
110022,20120727,8490,8490
110022,20120730,8460,8460
110022,20120731,8420,8420
110022,20120801,8470,8470
110022,20120802,8400,8400
110022,20120803,8490,8490
110022,20120806,8590,8590
110022,20120807,8580,8580
110022,20120808,8520,8520
110022,20120809,8690,8690
110022,20120810,8670,8670
110022,20120813,8590,8590
110022,20120814,8580,8580
110022,20120815,8520,8520
110022,20120816,8440,8440
110022,20120817,8380,8380
110022,20120820,8420,8420
110022,20120821,8530,8530
110022,20120822,8440,8440
110022,20120823,8440,8440
110022,20120824,8400,8400
110022,20120827,8330,8330
110022,20120828,8280,8280
110022,20120829,8200,8200
110022,20120830,8080,8080
110022,20120831,8070,8070
110022,20120903,8230,8230
110022,20120904,8139,8139
110022,20120905,8129,8129
110022,20120906,8120,8120
110022,20120907,8340,8340
110022,20120910,8400,8400
110022,20120911,8370,8370
110022,20120912,8380,8380
110022,20120913,8350,8350
110022,20120914,8390,8390
110022,20120917,8250,8250
110022,20120918,8220,8220
110022,20120919,8220,8220
110022,20120920,8100,8100
110022,20120921,8129,8129
110022,20120924,8149,8149
110022,20120925,8169,8169
110022,20120926,8100,8100
110022,20120927,8240,8240
110022,20120928,8390,8390
110022,20121008,8300,8300
110022,20121009,8440,8440
110022,20121010,8470,8470
110022,20121011,8390,8390
110022,20121012,8390,8390
110022,20121015,8420,8420
110022,20121016,8480,8480
110022,20121017,8460,8460
110022,20121018,8560,8560
110022,20121019,8540,8540
110022,20121022,8530,8530
110022,20121023,8370,8370
110022,20121024,8360,8360
110022,20121025,8310,8310
110022,20121026,8200,8200
110022,20121029,8200,8200
110022,20121030,8230,8230
110022,20121031,8300,8300
110022,20121101,8400,8400
110022,20121102,8410,8410
110022,20121105,8320,8320
110022,20121106,8230,8230
110022,20121107,8230,8230
110022,20121108,8159,8159
110022,20121109,8120,8120
110022,20121112,8020,8020
110022,20121113,7930,7930
110022,20121114,7990,7990
110022,20121115,7930,7930
110022,20121116,7820,7820
110022,20121119,7680,7680
110022,20121120,7670,7670
110022,20121121,7690,7690
110022,20121122,7590,7590
110022,20121123,7680,7680
110022,20121126,7580,7580
110022,20121127,7510,7510
110022,20121128,7440,7440
110022,20121129,7470,7470
110022,20121130,7520,7520
110022,20121203,7290,7290
110022,20121204,7310,7310
110022,20121205,7420,7420
110022,20121206,7370,7370
110022,20121207,7440,7440
110022,20121210,7480,7480
110022,20121211,7500,7500
110022,20121212,7550,7550
110022,20121213,7480,7480
110022,20121214,7650,7650
110022,20121217,7690,7690
110022,20121218,7720,7720
110022,20121219,7790,7790
110022,20121220,7820,7820
110022,20121221,7830,7830
110022,20121224,7800,7800
110022,20121225,7930,7930
110022,20121226,7960,7960
110022,20121227,7980,7980
110022,20121228,8080,8080
110022,20121231,8159,8159
110022,20130104,8110,8110
110022,20130107,8139,8139
110022,20130108,8240,8240
110022,20130109,8320,8320
110022,20130110,8310,8310
110022,20130111,8220,8220
110022,20130114,8430,8430
110022,20130115,8460,8460
110022,20130116,8430,8430
110022,20130117,8420,8420
110022,20130118,8600,8600
110022,20130121,8520,8520
110022,20130122,8410,8410
110022,20130123,8430,8430
110022,20130124,8310,8310
110022,20130125,8290,8290
110022,20130128,8390,8390
110022,20130129,8390,8390
110022,20130130,8430,8430
110022,20130131,8370,8370
110022,20130201,8450,8450
110022,20130204,8390,8390
110022,20130205,8570,8570
110022,20130206,8540,8540
110022,20130207,8650,8650
110022,20130208,8820,8820
110022,20130218,8710,8710
110022,20130219,8550,8550
110022,20130220,8720,8720
110022,20130221,8620,8620
110022,20130222,8640,8640
110022,20130225,8660,8660
110022,20130226,8550,8550
110022,20130227,8530,8530
110022,20130228,8660,8660
110022,20130301,8720,8720
110022,20130304,8590,8590
110022,20130305,8710,8710
110022,20130306,8790,8790
110022,20130307,8730,8730
110022,20130308,8670,8670
110022,20130311,8640,8640
110022,20130312,8550,8550
110022,20130313,8470,8470
110022,20130314,8520,8520
110022,20130315,8550,8550
110022,20130318,8480,8480
110022,20130319,8480,8480
110022,20130320,8680,8680
110022,20130321,8740,8740
110022,20130322,8740,8740
110022,20130325,8660,8660
110022,20130326,8670,8670
110022,20130327,8660,8660
110022,20130328,8550,8550
110022,20130329,8470,8470
110022,20130401,8450,8450
110022,20130402,8370,8370
110022,20130403,8310,8310
110022,20130408,8420,8420
110022,20130409,8430,8430
110022,20130410,8410,8410
110022,20130411,8390,8390
110022,20130412,8420,8420
110022,20130415,8350,8350
110022,20130416,8380,8380
110022,20130417,8510,8510
110022,20130418,8530,8530
110022,20130419,8660,8660
110022,20130422,8640,8640
110022,20130423,8480,8480
110022,20130424,8590,8590
110022,20130425,8530,8530
110022,20130426,8460,8460
110022,20130502,8490,8490
110022,20130503,8630,8630
110022,20130506,8720,8720
110022,20130507,8760,8760
110022,20130508,8840,8840
110022,20130509,8810,8810
110022,20130510,8820,8820
110022,20130513,8750,8750
110022,20130514,8520,8520
110022,20130515,8620,8620
110022,20130516,8770,8770
110022,20130517,8860,8860
110022,20130520,8910,8910
110022,20130521,8910,8910
110022,20130522,8900,8900
110022,20130523,8820,8820
110022,20130524,8830,8830
110022,20130527,8890,8890
110022,20130528,8940,8940
110022,20130529,8960,8960
110022,20130530,8890,8890
110022,20130531,8820,8820
110022,20130603,8790,8790
110022,20130604,8670,8670
110022,20130605,8720,8720
110022,20130606,8700,8700
110022,20130607,8610,8610
110022,20130613,8460,8460
110022,20130614,8540,8540
110022,20130617,8500,8500
110022,20130618,8640,8640
110022,20130619,8660,8660
110022,20130620,8470,8470
110022,20130621,8480,8480
110022,20130624,8169,8169
110022,20130625,8280,8280
110022,20130626,8390,8390
110022,20130627,8340,8340
110022,20130628,8390,8390
110022,20130630,8390,8390
110022,20130701,8550,8550
110022,20130702,8670,8670
110022,20130703,8760,8760
110022,20130704,8780,8780
110022,20130705,8730,8730
110022,20130708,8630,8630
110022,20130709,8640,8640
110022,20130710,8730,8730
110022,20130711,8850,8850
110022,20130712,8830,8830
110022,20130715,8960,8960
110022,20130716,8990,8990
110022,20130717,8830,8830
110022,20130718,8740,8740
110022,20130719,8550,8550
110022,20130722,8670,8670
110022,20130723,8870,8870
110022,20130724,8890,8890
110022,20130725,8810,8810
110022,20130726,8770,8770
110022,20130729,8610,8610
110022,20130730,8590,8590
110022,20130731,8620,8620
110022,20130801,8780,8780
110022,20130802,8820,8820
110022,20130805,8970,8970
110022,20130806,9080,9080
110022,20130807,9090,9090
110022,20130808,9080,9080
110022,20130809,9130,9130
110022,20130812,9180,9180
110022,20130813,9110,9110
110022,20130814,9080,9080
110022,20130815,8980,8980
110022,20130816,8820,8820
110022,20130819,9010,9010
110022,20130820,9020,9020
110022,20130821,8960,8960
110022,20130822,8960,8960
110022,20130823,8920,8920
110022,20130826,9050,9050
110022,20130827,9040,9040
110022,20130828,8950,8950
110022,20130829,8910,8910
110022,20130830,8860,8860
110022,20130902,8890,8890
110022,20130903,9020,9020
110022,20130904,9020,9020
110022,20130905,9110,9110
110022,20130906,9100,9100
110022,20130909,9150,9150
110022,20130910,9180,9180
110022,20130911,9140,9140
110022,20130912,9140,9140
110022,20130913,9280,9280
110022,20130916,9330,9330
110022,20130917,9260,9260
110022,20130918,9270,9270
110022,20130923,9490,9490
110022,20130924,9620,9620
110022,20130925,9610,9610
110022,20130926,9520,9520
110022,20130927,9600,9600
110022,20130930,9680,9680
110022,20131008,9770,9770
110022,20131009,9880,9880
110022,20131010,9900,9900
110022,20131011,10009,10009
110022,20131014,10040,10040
110022,20131015,10080,10080
110022,20131016,9910,9910
110022,20131017,9810,9810
110022,20131018,9930,9930
110022,20131021,10280,10280
110022,20131022,10180,10180
110022,20131023,9880,9880
110022,20131024,9870,9870
110022,20131025,9690,9690
110022,20131028,9650,9650
110022,20131029,9590,9590
110022,20131030,9780,9780
110022,20131031,9490,9490
110022,20131101,9470,9470
110022,20131104,9480,9480
110022,20131105,9530,9530
110022,20131106,9380,9380
110022,20131107,9240,9240
110022,20131108,9130,9130
110022,20131111,9190,9190
110022,20131112,9270,9270
110022,20131113,9120,9120
110022,20131114,9280,9280
110022,20131115,9430,9430
110022,20131118,9520,9520
110022,20131119,9420,9420
110022,20131120,9460,9460
110022,20131121,9380,9380
110022,20131122,9380,9380
110022,20131125,9340,9340
110022,20131126,9310,9310
110022,20131127,9350,9350
110022,20131128,9500,9500
110022,20131129,9520,9520
110022,20131202,9220,9220
110022,20131203,9360,9360
110022,20131204,9490,9490
110022,20131205,9450,9450
110022,20131206,9450,9450
110022,20131209,9540,9540
110022,20131210,9560,9560
110022,20131211,9520,9520
110022,20131212,9570,9570
110022,20131213,9620,9620
110022,20131216,9470,9470
110022,20131217,9380,9380
110022,20131218,9390,9390
110022,20131219,9320,9320
110022,20131220,9270,9270
110022,20131223,9310,9310
110022,20131224,9370,9370
110022,20131225,9470,9470
110022,20131226,9390,9390
110022,20131227,9500,9500
110022,20131230,9540,9540
110022,20131231,9580,9580
